period_start,period_end,consumed_gallons,monthly_flat_fee,inspection_fee,tier_1_kgal_rate_(1-14),tier_2_kgal_rate_(>14),consumption_charge,environmental_fee,total_charge
8/12/2016,9/14/2016,36000,18.9,6,2.6,5.6,159.6,13.32,197.82
9/14/2016,10/13/2016,18000,18.9,6,2.6,5.6,58.8,6.66,90.36
10/13/2016,11/14/2016,35000,18.9,6,2.6,5.6,154,12.95,191.85
11/14/2016,12/14/2016,28000,18.9,6,2.6,5.6,114.8,10.36,150.06
12/14/2016,1/17/2017,39000,18.9,6,2.6,5.6,176.4,14.43,215.73
1/17/2017,2/14/2017,17000,18.9,6,2.6,5.6,53.2,6.29,84.39
2/14/2017,3/16/2017,18000,18.9,6,2.6,5.6,58.8,6.66,90.36
3/16/2017,4/17/2017,32000,18.9,6,2.6,5.6,137.2,15.54,177.64
4/17/2017,5/15/2017,29000,18.9,6,2.6,5.6,120.4,14.43,159.73
5/15/2017,6/14/2017,15000,18.9,6,2.6,5.6,42,5.55,72.45
6/14/2017,7/17/2017,9000,18.9,6,2.6,5.6,23.4,3.33,51.63
7/17/2017,8/14/2017,9000,18.9,6,2.6,5.6,23.4,3.33,51.63
8/14/2017,9/14/2017,17000,18.9,6,2.6,5.6,53.2,6.29,84.39
9/14/2017,10/12/2017,21000,18.9,6,2.6,5.6,75.6,7.77,108.27
10/12/2017,11/13/2017,22000,18.9,6,2.6,5.6,81.2,8.14,114.24
11/13/2017,12/13/2017,15000,18.9,6,2.6,5.6,42,5.55,72.45
12/13/2017,1/16/2018,14000,18.9,6,2.6,5.6,36.4,5.18,66.48
1/16/2018,2/13/2018,15000,18.9,6,2.6,5.6,42,5.55,72.45
2/13/2018,3/15/2018,19000,18.9,6,2.6,5.6,64.4,7.03,96.33
3/15/2018,4/13/2018,10000,18.9,6,2.6,5.6,26,3.7,54.6
4/13/2018,5/14/2018,20000,18.9,6,2.6,5.6,70,7.4,102.3
5/14/2018,6/14/2018,6000,18.9,6,2.6,5.6,15.6,2.22,42.72
6/14/2018,7/16/2018,11000,18.9,6,2.6,5.6,28.6,4.07,57.57
7/16/2018,8/13/2018,8000,18.9,6,2.6,5.6,20.8,2.96,48.66
8/13/2018,9/13/2018,10000,18.9,6,2.6,5.6,26,3.7,54.6
9/13/2018,10/11/2018,16000,18.9,6,2.6,5.6,47.6,5.92,78.42
10/11/2018,11/9/2018,13000,18.9,6,2.6,5.6,33.8,4.81,63.51
11/9/2018,12/12/2018,7000,18.9,6,2.6,5.6,18.2,2.59,45.69
12/12/2018,1/14/2019,9000,18.9,6,2.6,5.6,23.4,3.33,51.63
1/14/2019,2/12/2019,8000,18.9,6,2.6,5.6,20.8,2.96,48.66
2/12/2019,3/13/2019,7000,18.9,6,2.6,5.6,18.2,2.9,46
3/13/2019,4/11/2019,15000,18.9,6,2.6,5.6,42,5.55,72.45
4/11/2019,5/13/2019,24000,18.9,6,2.6,5.6,92.4,8.88,126.18
5/13/2019,6/13/2019,25000,18.9,6,2.6,5.6,98,9.25,132.15
6/13/2019,7/15/2019,13000,18.9,6,2.6,5.6,33.8,4.81,63.51
7/15/2019,8/13/2019,11000,18.9,6,2.6,5.6,28.6,4.07,57.57
8/13/2019,9/13/2019,14000,18.9,6,2.6,5.6,36.4,5.18,66.48
9/13/2019,10/11/2019,19000,18.9,6,2.6,5.6,64.4,7.03,96.33
10/11/2019,11/12/2019,16000,18.9,6,2.6,5.6,47.6,5.92,78.42
11/12/2019,12/11/2019,10000,18.9,6,2.6,5.6,26,3.7,54.6
12/11/2019,12/31/2019,7000,12.6,4,2.6,5.6,18.2,2.59,37.39
