month,max_temp,avg_temp,min_temp,total_rain_inches
Jan-16,73,55,30,2.07
Feb-16,84,59,36,3.1
Mar-16,89,70,46,2.33
Apr-16,91,73,55,2.99
May-16,96,79,55,3.76
Jun-16,99,84,70,5.19
Jul-16,100,87,75,0.69
Aug-16,99,86,75,2.47
Sep-16,96,83,72,3.03
Oct-16,91,76,54,5.91
Nov-16,86,67,45,0.11
Dec-16,82,63,37,2.22
Jan-17,82,62,30,0.61
Feb-17,84,65,44,0
Mar-17,88,66,39,1.45
Apr-17,93,74,51,3.14
May-17,96,78,53,4.64
Jun-17,97,81,64,10.54
Jul-17,97,85,73,5.6
Aug-17,96,84,73,4.09
Sep-17,93,81,72,8.94
Oct-17,91,76,46,3.25
Nov-17,82,67,48,1.09
Dec-17,82,60,37,1.42
Jan-18,78,52,27,2.02
Feb-18,84,68,46,0.77
Mar-18,86,63,42,0.78
Apr-18,91,70,50,4.05
May-18,93,78,64,6.47
Jun-18,96,82,71,6.43
Jul-18,97,83,71,4.69
Aug-18,96,84,73,4.35
Sep-18,97,85,75,2.55
Oct-18,94,74,48,1.3
Nov-18,88,63,32,5.21
Dec-18,83,58,31,4.96
Jan-19,83,55,30,4.37
Feb-19,87,65,35,1.83
Mar-19,86,63,33,2.04
Apr-19,89,72,52,1.28
May-19,100,81,68,2.02
Jun-19,100,83,73,2.18
Jul-19,98,83,74,4.55
Aug-19,99,83,74,5.11
Sep-19,97,82,70,3.16
Oct-19,90,77,60,1.31
Nov-19,84,61,44,1.85
Dec-19,84,62,39,3.92
